review,cleaned_review,label,sentiment,label_source,conf_score,nama desa wisata,aspects_str
"bagus tempatnya, cuma masuk kedalemnya memang agak jauh apalagi jalan kaki. mangrovenya rimbun, setiap jalanannya ada keterangan informasi2 tentang konservasi disana. ada yang jual souvernir, tp sepertinya tdk ada yg jual makanan. tp tidak tahu sekarang bagaimana karena terakhir kesana februari 2022 waktu masih baru atau tahap renovasi & keadaan cuaca mendadak hujan, jd ada bagian yg blm bisa dilewati. semoga lain waktu bisa kesana lagi","bagus tempatnya , cuma masuk ke dalamnya memang agak jauh apalagi jalan kaki . mangrovenya rimbun , setiap jalanannya ada keterangan informasi - informasi tentang konservasi di sana . ada yang jual suvenir , tapi sepertinya tidak ada yang jual makanan . tapi tidak tahu sekarang bagaimana karena terakhir ke sana februari 2022 waktu masih baru atau tahap renovasi & keadaan cuaca mendadak hujan , jadi ada bagian yang belum bisa dilewati . semoga lain waktu bisa ke sana lagi",1,Positif,manual,1.0,kampung blekok,Pemandangan & Alam|Kuliner|Akses & Lokasi
"sebenarnya bagus, untuk melihat sunrise view bagus sejuk juga. cuman sudah mulai sedikit kurang terawat. sayang sekali kalo sampai terbengkalai","sebenarnya bagus , untuk melihat sunrise pemandangan bagus sejuk juga . cuma sudah mulai sedikit kurang terawat . sayang sekali kalo sampai terbengkalai",2,Netral,manual,1.0,kampung blekok,Pemandangan & Alam|Kebersihan|Suasana
tempat untuk menghilangkan stres dalam mengarungi kehidupan fresh begitu keluar dari sini,tempat untuk menghilangkan stres dalam mengarungi kehidupan fresh begitu keluar dari sini,1,Positif,manual,1.0,kampung blekok,Pemandangan & Alam
sumpah sejuk,sumpah sejuk,1,Positif,manual,1.0,kampung blekok,Suasana
banyak hewan dhelkok nya,banyak hewan blekok nya,0,Negatif,manual,1.0,kampung blekok,Lainnya
salah satu konsevasi mangrove yg baik. bbrp sarana yg sdh usang membahayakan pengunjung,salah satu konsevasi mangrove yang baik . beberapa sarana yang sudah usang membahayakan pengunjung,2,Netral,manual,1.0,kampung blekok,Pemandangan & Alam
"kurang terawat, harusnya kalau dikelola dg baik, pasti akan banyak prngunjug luar kota datang","kurang terawat , harusnya kalau dikelola dengan baik , pasti akan banyak pengunjung luar kota datang",2,Netral,manual,1.0,kampung blekok,Kebersihan
destinasi kampoeng blekok sangat sederhana dan cukup mempesona karena terbuat dari kayu,destinasi kampung blekok sangat sederhana dan cukup mempesona karena terbuat dari kayu,1,Positif,manual,1.0,kampung blekok,Lainnya
saat ini nampak kurang terawat. mungkin perlu solusi cepat dr pihak terkait. selain itu optimalisasi pokdarwis perlu ditingkatkan,saat ini nampak kurang terawat . mungkin perlu solusi cepat dari pihak terkait . selain itu optimalisasi kelompok sadar wisata perlu ditingkatkan,2,Netral,manual,1.0,kampung blekok,Kebersihan
"lokasinya ada di daerah pinggir pantura, tapi sayangnya pintu masuk ke area pantainya harus lewat rumah warga. parkir susah, apalagi yang bawa mobil. kemaren bawa mobil harus parkir di halaman sekolah sd, yang menurutku ga aman banget karna pas itu juga lagi ada anak anak main sepak bola. pas masuk ke dalam juga mengecewakan. spotnya banyak yang harus dievaluasi lagi, karna sepi banget.","lokasinya ada di daerah pinggir pantura , tapi sayangnya pintu masuk ke area pantainya harus lewat rumah warga . parkir susah , apalagi yang bawa mobil . kemaren bawa mobil harus parkir di halaman sekolah sd , yang menurutku tidak aman banget karena pas itu juga lagi ada anak - anakmain sepak bola . pas masuk ke dalam juga mengecewakan . spotnya banyak yang harus dievaluasi lagi , karena sepi banget .",2,Netral,manual,1.0,kampung blekok,Pemandangan & Alam|Pelayanan|Fasilitas|Kuliner|Akses & Lokasi
"jalan kaki ±500m untuk ke area mangrove, tempat kurang terawat, waktu berkunjung saat hari kerja dan hanya berdua jadi terasa menakutkan karena denyitan suara papan kayu, beberapa tempat yg terbengkalai. mungkin perlu berbenah lagi untuk menarik wisatawan.","jalan kaki ± 500m untuk ke area mangrove , tempat kurang terawat , waktu berkunjung saat hari kerja dan hanya berdua jadi terasa menakutkan karena denyitan suara papan kayu , beberapa tempat yang terbengkalai . mungkin perlu berbenah lagi untuk menarik wisatawan .",2,Netral,manual,1.0,kampung blekok,Pemandangan & Alam|Kebersihan|Akses & Lokasi
bagi yg suka suasana pemandangan alam bisa berkunjung ke blekok karna menawarkan suasana alam khas pesisir yg indah,bagi yang suka suasana pemandangan alam bisa berkunjung ke blekok karena menawarkan suasana alam khas pesisir yang indah,1,Positif,manual,1.0,kampung blekok,Pemandangan & Alam|Suasana
wah kampung blekok tempatnya keren keren,wah kampung blekok tempatnya keren keren,1,Positif,manual,1.0,kampung blekok,Lainnya
bagus tempat nya,bagus tempatnya,1,Positif,manual,1.0,kampung blekok,Lainnya
"bagus banget pemandangan mangrove, burung blekok dan sungai yang mengarah ke laut. . naik perahu cm 10rb/org, padahal rutenya lumayan jauh dari sungai ke perbatasan laut. kalau naik, saranku kasih lebih buat bapak perahunya. . orgnya ramah. . wisata kampoeng blekok sayang bgt skrg sepi pengunjung. . stand2 makanan jg sdh tdk jual lagi. . yuk2 terutama warga situbondo dan sekitarnya, diramaikan lagi, dirawat lagi aset wisata yang berharga dan bisa menjadi sumber ekonomi warga sekitar. .","bagus banget pemandangan mangrove , burung blekok dan sungai yang mengarah ke laut . naik perahu cuma 10rb / orang , padahal rutenya lumayan jauh dari sungai ke perbatasan laut . kalau naik , saranku kasih lebih buat bapak perahunya . orangnya ramah . wisata kampung blekok sayang banget sekarang sepi pengunjung . stan makanan juga sudah tidak jual lagi . yuk2 terutama warga situbondo dan sekitarnya , diramaikan lagi , dirawat lagi aset wisata yang berharga dan bisa menjadi sumber ekonomi warga sekitar .",1,Positif,manual,1.0,kampung blekok,Pemandangan & Alam|Pelayanan|Harga & Tiket|Kuliner|Akses & Lokasi
mantab,mantap,1,Positif,manual,1.0,kampung blekok,Lainnya
terletak di desa klatakan dg lingkungan masyarakatnya yg sangat ramah,terletak di desa klatakan dengan lingkungan masyarakatnya yang sangat ramah,1,Positif,manual,1.0,kampung blekok,Pelayanan
"spot wisata yg mulai ditinggalkan oleh penghuninya. banyak fasilitas diarea mangrove mulai rusak . booth kafe, musholla, toilet sudah tdk berfungsi. tinggal menunggu waktu utk hancur saja. area taman masih bisa dipakai walaupun minim perawatan. toilet taman masih berfungsi dengan baik. hanya itu yg masih bisa dipakai sedang fasilitas yg lain sudah tdk bisa diharapkan","spot wisata yang mulai ditinggalkan oleh penghuninya . banyak fasilitas di area mangrove mulai rusak . booth kafe , musholla , toilet sudah tidak berfungsi . tinggal menunggu waktu untuk hancur saja . area taman masih bisa dipakai walaupun minim perawatan . toilet taman masih berfungsi dengan baik . hanya itu yang masih bisa dipakai sedang fasilitas yang lain sudah tidak bisa diharapkan",2,Netral,manual,1.0,kampung blekok,Pemandangan & Alam|Kebersihan|Fasilitas|Kuliner
tempat rekreasi yang menarik dan wajib dikunjungi beserta keluarga saat liburan,tempat rekreasi yang menarik dan wajib dikunjungi beserta keluarga saat liburan,1,Positif,manual,1.0,kampung blekok,Lainnya
menyenangkan dan mengasikkan oxigen gratis bisa kita hirup tanpa polusi,menyenangkan dan mengasikkan oksigen gratis bisa kita hirup tanpa polusi,1,Positif,manual,1.0,kampung blekok,Harga & Tiket
pantainya sangat bagus pemandangan sangat baik,pantainya sangat bagus pemandangan sangat baik,1,Positif,manual,1.0,kampung blekok,Pemandangan & Alam
orang nya ramah²,orangnya ramah - ramah,1,Positif,manual,1.0,kampung blekok,Pelayanan
"lumayan indah pemandangannya,","lumayan indah pemandangannya ,",1,Positif,manual,1.0,kampung blekok,Pemandangan & Alam
bagus. . kesadaran pengunjung akan pentingnya membuang sampah di tempatnya pasti akan makin membuat suasana tambah nyaman,bagus . kesadaran pengunjung akan pentingnya membuang sampah di tempatnya pasti akan makin membuat suasana tambah nyaman,1,Positif,manual,1.0,kampung blekok,Kebersihan|Suasana
sangat bagus bagi yg suka menikmati keindahan alam,sangat bagus bagi yang suka menikmati keindahan alam,1,Positif,manual,1.0,kampung blekok,Pemandangan & Alam
tempat yang indah,tempat yang indah,1,Positif,manual,1.0,kampung blekok,Lainnya
terkenal dengan burung blekoknya. . kawasan hutan magrove. . walaupun tdk luas tp spot foto banyaklah. . . harga tiket juga sangat terjangkau sekali. jalan2 yg beliku dipenuhi pohon magrove dengan semilir angin yg sejuk wlp udaranya panas. ada tempat bersantai sambil liat pemandangan gunung dr tepian,terkenal dengan burung blekoknya . kawasan hutan magrove . walaupun tidak luas tapi spot foto banyaklah . harga tiket juga sangat terjangkau sekali . jalan - jalan yang berliku dipenuhi pohon magrove dengan semilir angin yang sejuk walaupun udaranya panas . ada tempat bersantai sambil melihat pemandangan gunung dari tepian,1,Positif,manual,1.0,kampung blekok,Pemandangan & Alam|Fasilitas|Harga & Tiket|Suasana|Akses & Lokasi
"indah dan bersih, super sekali","indah dan bersih , super sekali",1,Positif,manual,1.0,kampung blekok,Kebersihan
"tempat healing yang bagus, ditemani sama bunyi bunyi ombak, dan pohon mangrove yang rindang","tempat healing yang bagus , ditemani sama bunyi - bunyi ombak , dan pohon mangrove yang rindang",1,Positif,manual,1.0,kampung blekok,Pemandangan & Alam
"lumayan bagus tapi masih banyak yang di perbaiki untuk pagar""nya supaya nggak membahayakan orang yang jalan di sana",lumayan bagus tapi masih banyak yang diperbaiki untuk pagar - pagarnya supaya tidak membahayakan orang yang jalan di sana,2,Netral,manual,1.0,kampung blekok,Akses & Lokasi
"scam. nothing more. dont trust the good review. pertama masuk, harus jalan kaki kira2 300m. lalu sampai sana, ya biasa aja. cuma ada penangkaran burung yang kotor dan bau. sama taman2 yang nanggung","scam . nothing more . dont trust the good review . pertama masuk , harus jalan kaki kira2 300m . lalu sampai sana , ya biasa aja . cuma ada penangkaran burung yang kotor dan bau . sama taman - taman yang nanggung",2,Netral,manual,1.0,kampung blekok,Pemandangan & Alam|Kebersihan|Akses & Lokasi
perlu perawatan fasilitas parkir kendaraan khususnys bus tdk ada,perlu perawatan fasilitas parkir kendaraan khususnya bus tidak ada,2,Netral,manual,1.0,kampung blekok,Fasilitas|Akses & Lokasi
bagus dan menarik,bagus dan menarik,1,Positif,manual,1.0,kampung blekok,Lainnya
"keren dan menginspirasi, , ,","keren dan menginspirasi ,",1,Positif,manual,1.0,kampung blekok,Lainnya
mantab,mantap,1,Positif,manual,1.0,kampung blekok,Lainnya
cukup baik dan pantas buat liburan,cukup baik dan pantas buat liburan,1,Positif,manual,1.0,kampung blekok,Lainnya
sangat menarik,sangat menarik,1,Positif,manual,1.0,kampung blekok,Lainnya
"menikmati senja di kampung blekok, diiringi lantunan merdu burung blekok, sangat syahdu sekali.","menikmati senja di kampung blekok , diiringi lantunan merdu burung blekok , sangat syahdu sekali .",1,Positif,manual,1.0,kampung blekok,Lainnya
perlu dikembangkan lebih lanjut,perlu dikembangkan lebih lanjut,0,Negatif,manual,1.0,kampung blekok,Lainnya
toiletnya bersih parkir luas dan mudah di jangkau,toiletnya bersih parkir luas dan mudah dijangkau,1,Positif,manual,1.0,kampung blekok,Kebersihan|Fasilitas
tempatnya nyaman untuk refreshing bersama keluarga,tempatnya nyaman untuk refreshing bersama keluarga,1,Positif,manual,1.0,kampung blekok,Suasana
warga sekitar ramah terhadap wisatawan,warga sekitar ramah terhadap wisatawan,1,Positif,manual,1.0,kampung blekok,Pelayanan
pemandang yg sangat indah,pemandangan yang sangat indah,1,Positif,manual,1.0,kampung blekok,Pemandangan & Alam
"suasana alam dari wisata kampung blekok akan menambah wawasan edukatif, recomended untuk keluarga atau pasangan","suasana alam dari wisata kampung blekok akan menambah wawasan edukatif , sangat disarankan untuk keluarga atau pasangan",1,Positif,manual,1.0,kampung blekok,Pemandangan & Alam|Suasana
salah satu tempat wisata alam yang bisa dikunjungi sebagai destinasi wisata bersama keluarga,salah satu tempat wisata alam yang bisa dikunjungi sebagai destinasi wisata bersama keluarga,1,Positif,manual,1.0,kampung blekok,Pemandangan & Alam
luar biasah. . . . promosi wisatanya harus lebih digalakkan agar terkenal scr nasional. . .,luar biasa . promosi wisatanya harus lebih digalakkan agar terkenal secara nasional .,1,Positif,manual,1.0,kampung blekok,Lainnya
cocok banget buat weekend sama keluarga,cocok banget buat weekend sama keluarga,1,Positif,manual,1.0,kampung blekok,Lainnya
"tempatnya asri , indah , nyaman. melintasi di tengah² pohon mangrove dengan pemandangan gunung dan laut yang sungguh indah. . .","tempatnya asri , indah , nyaman . melintasi di tengah - tengah pohon mangrove dengan pemandangan gunung dan laut yang sungguh indah .",1,Positif,manual,1.0,kampung blekok,Pemandangan & Alam|Suasana
"pemandangan bikin betah, tiket masuk cukup terjangkau, ada tempat parkir buat mobil, harap diperhatikan perawatan untuk fasilitas, masih banyak sampah yang berada di daerah bakau","pemandangan bikin betah , tiket masuk cukup terjangkau , ada tempat parkir buat mobil , harap diperhatikan perawatan untuk fasilitas , masih banyak sampah yang berada di daerah bakau",2,Netral,manual,1.0,kampung blekok,Pemandangan & Alam|Kebersihan|Fasilitas|Harga & Tiket|Akses & Lokasi
liburan murah,liburan murah,1,Positif,manual,1.0,kampung blekok,Harga & Tiket
menyesal datang capek yang ada jalan jauh2 gak taunya cuma sungai dan tempat yg hancur gk sesua di gambar,menyesal datang capek yang ada jalan jauh - jauh tidak taunya cuma sungai dan tempat yang hancur tidak sesuai di gambar,2,Netral,manual,1.0,kampung blekok,Pemandangan & Alam|Akses & Lokasi
pas banget buat liburan sambil menghilangkan stress,pas banget buat liburan sambil menghilangkan stres,1,Positif,manual,1.0,kampung blekok,Lainnya
semakin tertata dengan rapi dan bersih dan parkir juga semakin nyaman,semakin tertata dengan rapi dan bersih dan parkir juga semakin nyaman,1,Positif,manual,1.0,kampung blekok,Kebersihan|Fasilitas|Suasana
lokasi yg sangat nyaman. . enak di pandang. . dan enak di kunjungi,lokasi yang sangat nyaman . enak dipandang . dan enak dikunjungi,1,Positif,manual,1.0,kampung blekok,Suasana|Akses & Lokasi
tempat yang nyaman untuk bersantai,tempat yang nyaman untuk bersantai,1,Positif,manual,1.0,kampung blekok,Suasana
"ekowisata kampung blekok di dusun pesisir, desa klatakan, kecamatan kendit, situbondo, jawa timur, sudah menjadi rujukan wisatawan. setiap hari, wisatawan dari berbagai daerah selalu ramai mengunjungi destinasi wisata itu. lokasi wisata ini terletak di jalur pantai utara (pantura), dekat dari pusat kota situbondo, sekitar sembilan kilometer. waktu jarak tempuh hanya sekitar 20 menit dari situbondo. meski masih baru, destinasi wisata ini sudah memiliki daya tarik yang kuat. sebab, memiliki ribuan burung air di dalamnya. mulai dari jenis blekok sawah atau ardeola speciosa, kuntul kecil atau egretta garzetta, kuntul kerbau atau bubulcus ibis, cangak abu atau ardea cinerea, cangak merah atau ardea purpurea, kokoan laut atau ibutorides striatus dan jenis lainnya. tak heran, banyak yang datang agar bisa melihat burung blekok di tempat tersebut. namun, berbagai burung tersebut hanya bisa dilihat pagi dan sore hari.","ekowisata kampung blekok di dusun pesisir , desa klatakan , kecamatan kendit , situbondo , jawa timur , sudah menjadi rujukan wisatawan . setiap hari , wisatawan dari berbagai daerah selalu ramai mengunjungi destinasi wisata itu . lokasi wisata ini terletak di jalur pantai utara ( pantura ) , dekat dari pusat kota situbondo , sekitar sembilan kilometer . waktu jarak tempuh hanya sekitar 20 menit dari situbondo . meski masih baru , destinasi wisata ini sudah memiliki daya tarik yang kuat . sebab , memiliki ribuan burung air di dalamnya . mulai dari jenis blekok sawah atau ardeola speciosa , kuntul kecil atau egretta garzetta , kuntul kerbau atau bubulcus ibis , cangak abu atau ardea cinerea , cangak merah atau ardea purpurea , kokoan laut atau ibutorides striatus dan jenis lainnya . tak heran , banyak yang datang agar bisa melihat burung blekok di tempat tersebut . namun , berbagai burung tersebut hanya bisa dilihat pagi dan sore hari .",0,Negatif,manual,1.0,kampung blekok,Pemandangan & Alam|Akses & Lokasi|Budaya & Tradisi
top. warganya ramah-ramah. homestaynya juga bersih nyaman.,top . warganya ramah - ramah . homestaynya juga bersih nyaman .,1,Positif,manual,1.0,kampung blekok,Kebersihan|Pelayanan|Fasilitas|Suasana
"letak parkiran ke tempat tujuan terlalu jauh, tempatnya kurang terawat. . utk toilet bersih dan terawat","letak parkiran ke tempat tujuan terlalu jauh , tempatnya kurang terawat . untuk toilet bersih dan terawat",2,Netral,manual,1.0,kampung blekok,Kebersihan|Fasilitas|Akses & Lokasi
"pernah lewat sekali, mungkin sewaktu-waktu bisa berkunjung kesana. kelihatannya tempatnya lumayan tuh.","pernah lewat sekali , mungkin sewaktu - waktu bisa berkunjung ke sana . kelihatannya tempatnya lumayan tuh .",1,Positif,manual,1.0,kampung blekok,Lainnya
kampung blekok tentang senja dan kenangan,kampung blekok tentang senja dan kenangan,1,Positif,manual,1.0,kampung blekok,Lainnya
"tempat yang asri, nyaman utk keluarga","tempat yang asri , nyaman untuk keluarga",1,Positif,manual,1.0,kampung blekok,Suasana
cocok untuk liburan keluarga,cocok untuk liburan keluarga,1,Positif,manual,1.0,kampung blekok,Lainnya
sebenarnya bagus. . eman sekali . . . karena dsini bisa liat senja. . tpi fasilitas kurang lengkap dan tidak terawat,sebenarnya bagus . sayang sekali . karena di sini bisa melihat senja . tapi fasilitas kurang lengkap dan tidak terawat,2,Netral,manual,1.0,kampung blekok,Kebersihan|Fasilitas
"mari menulis, mari membaca first of all, tempat ini kurang terlihat kalau dari luar, jadi kalian lebih baik pakai map yaa. karena disini itu pintu masuknya mirip gang gitu, beda sama deretan pantai seperti pasir putih, kenong, kampung kerapu dan bletok. nahh. . kalau kalian mau ketempat ini, awas salah ketik sama pantai bletok. tempat? dari luar emang gak keliatan, kalian bakal lewat beberapa jalan dalam perkampungan masyarakat sana, tapi inilah yang menarik. eitss. . tenang kalian gak bakal kesasar, karena udh lengkap kok petunjuk jalan nya. ada penjual sovenir sama kaos juga disini untuk oleh"". suasana? menurutku pantai ini siih yang paling ademm, karena ada sekitar 16. 500 pohon disni, baik itu mangrive atau bakau. kalian akan jalan lewat jembatan kayu yang cukup panjang. but, semua tempat disini bisa kalian gunakan buat spot foto, ada arena yang terdapat beberapa jenis burung, taman bermain untuk anak jadi bagus juga untuk pengenalan ke anak - anak usia dini. ouh iya disini juga ada perahunya kalau kalian pingin naik, bisa juga mancing, atau sekedar foto dengan latar belakang barisan bukit putri tidur dan pantai. apalagi yaaa? ouh iya makanan? kalau kalian kesini hari libur yaa jangan khawatir karena banyak tempat jualan juga, tapiii. . kalau kalian kesini hari kerja lebih agak sepi siih, dan kadang banyak penjual yang tutup. tapiii. . hehe tenang disepanjang perjalanan menuju tempat banyaak penjual di daerah perkampungan itu dari makanan, jajanan, sandal dan segala kebutuhan kalian buat mantaiii. . tiket masuk? tennaaang. . gak mahal kok, tapi aku lupa berapa, seingatku under 10k kok. . aman di kantong, bsa buat rekereasi keluarga, remaja, pasangan muda, dan tentunya ramah untuk anak. titip pesan, tempat ini asri jadi tolong bantu jaga juga yaa. . jangan buang sampah sembarangan, jangan melakukan tindakan vandalism dan segala perlakuan yang bisa merusak alam agar kelak tempat ini masih bisa dinikmati generasi kita selanjutnya. terimakasih dan selamat berkunjung kesana.","mari menulis , mari membaca first of al , tempat ini kurang terlihat kalau dari luar , jadi kalian lebih baik pakai map ya . karena di sini itu pintu masuknya mirip gang gitu , beda sama deretan pantai seperti pasir putih , kenong , kampung kerapu dan bletok . nah . kalau kalian mau ke tempat ini , awas salah ketik sama pantai bletok . tempat ? dari luar emang tidak kelihatan , kalian bakal lewat beberapa jalan dalam perkampungan masyarakat sana , tapi inilah yang menarik . eits . tenang kalian tidak bakal kesasar , karena sudah lengkap kok petunjuk jalan nya . ada penjual suvenir sama kaos juga di sini untuk oleh "" . suasana ? menurutku pantai ini siih yang paling adem , karena ada sekitar 16 . 500 pohon disni , baik itu mangrive atau bakau . kalian akan jalan lewat jembatan kayu yang cukup panjang . but , semua tempat di sini bisa kalian gunakan buat spot foto , ada arena yang terdapat beberapa jenis burung , taman bermain untuk anak jadi bagus juga untuk pengenalan ke anak - anak usia dini . ouh iya di sini juga ada perahunya kalau kalian pingin naik , bisa juga mancing , atau sekedar foto dengan latar belakang barisan bukit putri tidur dan pantai . apalagi ya ? ouh iya makanan ? kalau kalian kesini hari libur ya jangan khawatir karena banyak tempat jualan juga , tapi . kalau kalian kesini hari kerja lebih agak sepi siih , dan kadang banyak penjual yang tutup . tapi . hehe tenang disepanjang perjalanan menuju tempat banyaak penjual di daerah perkampungan itu dari makanan , jajanan , sandal dan segala kebutuhan kalian buat mantai . tiket masuk ? tennaaang . tidak mahal kok , tapi aku lupa berapa , seingatku under 10k kok . aman di kantong , bsa buat rekereasi keluarga , remaja , pasangan muda , dan tentunya ramah untuk anak . titip pesan , tempat ini asri jadi tolong bantu jaga juga ya . jangan buang sampah sembarangan , jangan melakukan tindakan vandalism dan segala perlakuan yang bisa merusak alam agar kelak tempat ini masih bisa dinikmati generasi kita selanjutnya . terimakasih dan selamat berkunjung ke sana .",1,Positif,manual,1.0,kampung blekok,Pemandangan & Alam|Kebersihan|Pelayanan|Fasilitas|Harga & Tiket|Kuliner|Suasana|Akses & Lokasi
mantab dan enak,mantap dan enak,1,Positif,manual,1.0,kampung blekok,Lainnya
sangat nyaman untuk liburan keluarga,sangat nyaman untuk liburan keluarga,1,Positif,manual,1.0,kampung blekok,Suasana
wisata edukasi yang mengedepankan konservasi burung air. perlu tambahan fasilitas tic sebagai edukasi pengunjung. perlu ada makanan khas yang bisa menjadi icon dari kampung blekokh .,wisata edukasi yang mengedepankan konservasi burung air . perlu tambahan fasilitas informasi wisata sebagai edukasi pengunjung . perlu ada makanan khas yang bisa menjadi icon dari kampung blekok .,1,Positif,manual,1.0,kampung blekok,Fasilitas|Kuliner
"bgus banget pemandangannya, rugi loh ga kesana ada monyetnya juga tapi baik kok","bagus banget pemandangannya , rugi loh tidak ke sana ada monyetnya juga tapi baik kok",1,Positif,manual,1.0,kampung blekok,Pemandangan & Alam
"bagus, edukatif. cocok utk anak anak","bagus , edukatif . cocok untuk anak anak",1,Positif,manual,1.0,kampung blekok,Lainnya
"pemandangannya bikin betah sih, buat dapet foto2 yg instagrammable juga sangat recommended disini. tiket masuk juga terjangkau. . .","pemandangannya bikin betah sih , buat dapet foto - foto yang instagrammable juga sangat disarankan di sini . tiket masuk juga terjangkau .",1,Positif,manual,1.0,kampung blekok,Pemandangan & Alam|Harga & Tiket
"tempatnya asri banget, meskipun tempatnya kecil, ada spot2 yang indah untuk foto2. tiketnya murah cuma rp 6000, - orang2 nya ramah. harga makanan dan minuman, camilan murah sekali. ada penyewaan kapal juga untuk keliling harga 10k/orang.","tempatnya asri banget , meskipun tempatnya kecil , ada spot yang indah untuk foto - foto . tiketnya murah cuma rp 6000 , - orang - orangnya ramah . harga makanan dan minuman , camilan murah sekali . ada penyewaan kapal juga untuk keliling harga 10k / orang .",1,Positif,manual,1.0,kampung blekok,Pelayanan|Harga & Tiket|Kuliner|Suasana
hutan mangrove dan pantai yang indah,hutan mangrove dan pantai yang indah,1,Positif,manual,1.0,kampung blekok,Pemandangan & Alam
"selain terkenal akan mangrove, kampung blekok memiliki daya tarik tersendiri yaitu jenis burung air (blekok) terdapat hingga ribuan burung air yang dapat kita lihat secara langsung. . dan penghasil kerajinan dari kerang yang tersebar hingga keluar jawa timur.","selain terkenal akan mangrove , kampung blekok memiliki daya tarik tersendiri yaitu jenis burung air ( blekok ) terdapat hingga ribuan burung air yang dapat kita lihat secara langsung . dan penghasil kerajinan dari kerang yang tersebar hingga keluar jawa timur .",0,Negatif,manual,1.0,kampung blekok,Pemandangan & Alam|Budaya & Tradisi
"warga ramah, kerajinannya bagus bagus makanannya enak banget","warga ramah , kerajinannya bagus - bagus makanannya enak banget",1,Positif,manual,1.0,kampung blekok,Pelayanan|Kuliner|Budaya & Tradisi
banyak edukasi yg bagus untuk nambah pengetahuan kita,banyak edukasi yang bagus untuk nambah pengetahuan kita,1,Positif,manual,1.0,kampung blekok,Lainnya
"bagus, cuma sayang kurang bersih di sekitar pantai","bagus , cuma sayang kurang bersih di sekitar pantai",2,Netral,manual,1.0,kampung blekok,Pemandangan & Alam|Kebersihan
utk jalan² asiikk. . . kaya akan oksigen. . cm tempat makan berat yg ga ada. .,untuk jalan - jalan asyik . kaya akan oksigen . cuma tempat makan berat yang tidak ada .,1,Positif,manual,1.0,kampung blekok,Kuliner|Akses & Lokasi
kampung wisata yang berhasil menyabet juara 1 sebagai kampung wisata yang mampu berkembang pesat. jalan dermaga dan menara sangat menarik serta burung2 blekok dg habitat aslinya.,kampung wisata yang berhasil menyabet juara 1 sebagai kampung wisata yang mampu berkembang pesat . jalan dermaga dan menara sangat menarik serta burung - burung blekok dengan habitat aslinya .,1,Positif,manual,1.0,kampung blekok,Akses & Lokasi
"tempat yang nyaman untuk merefresh kembali pikiran setelah jenuh dengan rutinitas kantor. pemandangan hijau dan langit biru menyegarkan mata dan hati, harga tiket masuk juga terjangkau","tempat yang nyaman untuk menyegarkan kembali pikiran setelah jenuh dengan rutinitas kantor . pemandangan hijau dan langit biru menyegarkan mata dan hati , harga tiket masuk juga terjangkau",1,Positif,manual,1.0,kampung blekok,Pemandangan & Alam|Harga & Tiket|Suasana
