review,cleaned_review,cleaned_review_stemmed,label,sentiment,label_source,conf_score,nama desa wisata,aspects_str,aspect_sentiments_str
"bagus banget pemandangan mangrove, burung blekok dan sungai yang mengarah ke laut. . naik perahu cm 10rb/org, padahal rutenya lumayan jauh dari sungai ke perbatasan laut. kalau naik, saranku kasih lebih buat bapak perahunya. . orgnya ramah. . wisata kampoeng blekok sayang bgt skrg sepi pengunjung. . stand2 makanan jg sdh tdk jual lagi. . yuk2 terutama warga situbondo dan sekitarnya, diramaikan lagi, dirawat lagi aset wisata yang berharga dan bisa menjadi sumber ekonomi warga sekitar. .",bagus banget pemandangan mangrove burung blekok sungai mengarah laut perahu ribu rutenya lumayan sungai perbatasan laut saranku kasih perahunya orgnya ramah wisata kampoeng blekok sayang banget sepi pengunjung stand makanan jual yuk warga situbondo diramaikan dirawat aset wisata berharga sumber ekonomi warga,bagus banget pandang mangrove burung blekok sungai arah laut perahu ribu rute lumayan sungai batas laut saran kasih perahu orgnya ramah wisata kampoeng blekok sayang banget sepi unjung stand makan jual yuk warga situbondo ramai rawat aset wisata harga sumber ekonomi warga,0,Negatif,mtl_only,1.0,kampung blekok,Kuliner|Pemandangan & Alam,Negatif|Positif
terletak di desa klatakan dg lingkungan masyarakatnya yg sangat ramah,terletak desa klatakan lingkungan masyarakatnya ramah,letak desa klatakan lingkung masyarakat ramah,1,Positif,mtl_only,1.0,kampung blekok,Pelayanan,Positif
"spot wisata yg mulai ditinggalkan oleh penghuninya. banyak fasilitas diarea mangrove mulai rusak . booth kafe, musholla, toilet sudah tdk berfungsi. tinggal menunggu waktu utk hancur saja. area taman masih bisa dipakai walaupun minim perawatan. toilet taman masih berfungsi dengan baik. hanya itu yg masih bisa dipakai sedang fasilitas yg lain sudah tdk bisa diharapkan",spot wisata ditinggalkan penghuninya fasilitas diarea mangrove rusak booth kafe musholla toilet berfungsi tinggal menunggu waktu hancur area taman dipakai minim perawatan toilet taman berfungsi dipakai fasilitas diharapkan,spot wisata tinggal hun fasilitas area mangrove rusak booth kafe musholla toilet fungsi tinggal tunggu waktu hancur area taman pakai minim awat toilet taman fungsi pakai fasilitas harap,0,Negatif,mtl_only,1.0,kampung blekok,Fasilitas|Kebersihan|Pemandangan & Alam,Negatif|Negatif|Negatif
pantainya sangat bagus pemandangan sangat baik,pantainya bagus pemandangan,pantai bagus pandang,1,Positif,mtl_only,1.0,kampung blekok,Pemandangan & Alam,Positif
"lumayan indah pemandangannya,",lumayan indah pemandangannya,lumayan indah pandang,1,Positif,mtl_only,1.0,kampung blekok,Pemandangan & Alam,Positif
bagus. . kesadaran pengunjung akan pentingnya membuang sampah di tempatnya pasti akan makin membuat suasana tambah nyaman,bagus kesadaran pengunjung membuang sampah tempatnya suasana nyaman,bagus sadar unjung buang sampah tempat suasana nyaman,1,Positif,mtl_only,1.0,kampung blekok,Suasana,Positif
sangat bagus bagi yg suka menikmati keindahan alam,bagus suka menikmati keindahan alam,bagus suka nikmat indah alam,1,Positif,mtl_only,1.0,kampung blekok,Pemandangan & Alam,Positif
terkenal dengan burung blekoknya. . kawasan hutan magrove. . walaupun tdk luas tp spot foto banyaklah. . . harga tiket juga sangat terjangkau sekali. jalan2 yg beliku dipenuhi pohon magrove dengan semilir angin yg sejuk wlp udaranya panas. ada tempat bersantai sambil liat pemandangan gunung dr tepian,terkenal burung blekoknya kawasan hutan magrove luas spot foto banyaklah harga tiket terjangkau jalan beliku dipenuhi pohon magrove semilir angin sejuk wlp udaranya panas bersantai pemandangan gunung tepian,kenal burung blekok kawasan hutan magrove luas spot foto banyak harga tiket jangkau jalan beliku penuh pohon magrove milir angin sejuk wlp udara panas santa pandang gunung tepi,1,Positif,mtl_only,1.0,kampung blekok,Fasilitas|Harga & Tiket|Pemandangan & Alam|Suasana,Positif|Positif|Positif|Negatif
"tempat healing yang bagus, ditemani sama bunyi bunyi ombak, dan pohon mangrove yang rindang",healing bagus ditemani bunyi bunyi ombak pohon mangrove rindang,healing bagus tani bunyi bunyi ombak pohon mangrove rindang,1,Positif,mtl_only,1.0,kampung blekok,Pemandangan & Alam,Positif
"scam. nothing more. dont trust the good review. pertama masuk, harus jalan kaki kira2 300m. lalu sampai sana, ya biasa aja. cuma ada penangkaran burung yang kotor dan bau. sama taman2 yang nanggung",scam nothing more dont trust the good jalan kaki penangkaran burung kotor bau taman nanggung,scam nothing more dont trust the good jalan kaki tangkar burung kotor bau taman nanggung,0,Negatif,mtl_only,1.0,kampung blekok,Akses & Lokasi|Pemandangan & Alam,Negatif|Negatif
perlu perawatan fasilitas parkir kendaraan khususnys bus tdk ada,perawatan fasilitas parkir kendaraan khususnys bus,awat fasilitas parkir kendara khususnys bus,2,Netral,mtl_only,1.0,kampung blekok,Fasilitas,Netral
toiletnya bersih parkir luas dan mudah di jangkau,toiletnya bersih parkir luas mudah jangkau,toilet bersih parkir luas mudah jangkau,1,Positif,mtl_only,1.0,kampung blekok,Fasilitas|Kebersihan,Positif|Positif
warga sekitar ramah terhadap wisatawan,warga ramah wisatawan,warga ramah wisatawan,1,Positif,mtl_only,1.0,kampung blekok,Pelayanan,Positif
salah satu tempat wisata alam yang bisa dikunjungi sebagai destinasi wisata bersama keluarga,salah wisata alam dikunjungi destinasi wisata keluarga,salah wisata alam kunjung destinasi wisata keluarga,1,Positif,mtl_only,1.0,kampung blekok,Pemandangan & Alam,Positif
"tempatnya asri , indah , nyaman. melintasi di tengah² pohon mangrove dengan pemandangan gunung dan laut yang sungguh indah. . .",tempatnya asri indah nyaman melintasi tengah pohon mangrove pemandangan gunung laut sungguh indah,tempat asri indah nyaman lintas tengah pohon mangrove pandang gunung laut sungguh indah,1,Positif,mtl_only,1.0,kampung blekok,Pemandangan & Alam,Positif
"pemandangan bikin betah, tiket masuk cukup terjangkau, ada tempat parkir buat mobil, harap diperhatikan perawatan untuk fasilitas, masih banyak sampah yang berada di daerah bakau",pemandangan bikin betah tiket terjangkau parkir mobil harap diperhatikan perawatan fasilitas sampah daerah bakau,pandang bikin betah tiket jangkau parkir mobil harap perhati awat fasilitas sampah daerah bakau,1,Positif,mtl_only,1.0,kampung blekok,Fasilitas|Harga & Tiket|Pemandangan & Alam,Negatif|Positif|Positif
menyesal datang capek yang ada jalan jauh2 gak taunya cuma sungai dan tempat yg hancur gk sesua di gambar,menyesal capek jalan taunya sungai hancur sesua gambar,sesal capek jalan tau sungai hancur sua gambar,0,Negatif,mtl_only,1.0,kampung blekok,Akses & Lokasi|Pemandangan & Alam,Negatif|Negatif
semakin tertata dengan rapi dan bersih dan parkir juga semakin nyaman,tertata rapi bersih parkir nyaman,tata rapi bersih parkir nyaman,1,Positif,mtl_only,1.0,kampung blekok,Fasilitas,Positif
lokasi yg sangat nyaman. . enak di pandang. . dan enak di kunjungi,lokasi nyaman pandang kunjungi,lokasi nyaman pandang kunjung,1,Positif,mtl_only,1.0,kampung blekok,Akses & Lokasi,Positif
tempat yang nyaman untuk bersantai,nyaman bersantai,nyaman santa,1,Positif,mtl_only,1.0,kampung blekok,Suasana,Positif
"ekowisata kampung blekok di dusun pesisir, desa klatakan, kecamatan kendit, situbondo, jawa timur, sudah menjadi rujukan wisatawan. setiap hari, wisatawan dari berbagai daerah selalu ramai mengunjungi destinasi wisata itu. lokasi wisata ini terletak di jalur pantai utara (pantura), dekat dari pusat kota situbondo, sekitar sembilan kilometer. waktu jarak tempuh hanya sekitar 20 menit dari situbondo. meski masih baru, destinasi wisata ini sudah memiliki daya tarik yang kuat. sebab, memiliki ribuan burung air di dalamnya. mulai dari jenis blekok sawah atau ardeola speciosa, kuntul kecil atau egretta garzetta, kuntul kerbau atau bubulcus ibis, cangak abu atau ardea cinerea, cangak merah atau ardea purpurea, kokoan laut atau ibutorides striatus dan jenis lainnya. tak heran, banyak yang datang agar bisa melihat burung blekok di tempat tersebut. namun, berbagai burung tersebut hanya bisa dilihat pagi dan sore hari.",ekowisata kampung blekok dusun pesisir desa klatakan kecamatan kendit situbondo jawa timur rujukan wisatawan wisatawan daerah ramai mengunjungi destinasi wisata lokasi wisata terletak jalur pantai utara pantura pusat kota situbondo sembilan kilometer waktu jarak tempuh menit situbondo destinasi wisata memiliki daya tarik kuat memiliki ribuan burung air dalamnya jenis blekok sawah ardeola speciosa kuntul egretta garzetta kuntul kerbau bubulcus ibis cangak abu ardea cinerea cangak merah ardea purpurea kokoan laut ibutorides striatus jenis heran burung blekok burung pagi sore,ekowisata kampung blekok dusun pesisir desa klatakan camat kendit situbondo jawa timur rujuk wisatawan wisatawan daerah ramai unjung destinasi wisata lokasi wisata letak jalur pantai utara pantura pusat kota situbondo sembilan kilometer waktu jarak tempuh menit situbondo destinasi wisata milik daya tarik kuat milik ribu burung air dalam jenis blekok sawah ardeola speciosa kuntul egretta garzetta kuntul kerbau bubulcus ibis cangak abu ardea cinerea cangak merah ardea purpurea kokoan laut ibutorides striatus jenis heran burung blekok burung pagi sore,2,Netral,mtl_only,1.0,kampung blekok,Akses & Lokasi,Netral
top. warganya ramah-ramah. homestaynya juga bersih nyaman.,top warganya ramah ramah homestaynya bersih nyaman,top warga ramah ramah homestaynya bersih nyaman,1,Positif,mtl_only,1.0,kampung blekok,Fasilitas|Pelayanan,Positif|Positif
"letak parkiran ke tempat tujuan terlalu jauh, tempatnya kurang terawat. . utk toilet bersih dan terawat",letak parkiran tujuan tempatnya terawat toilet bersih terawat,letak parkir tuju tempat awat toilet bersih awat,1,Positif,mtl_only,1.0,kampung blekok,Kebersihan,Positif
sebenarnya bagus. . eman sekali . . . karena dsini bisa liat senja. . tpi fasilitas kurang lengkap dan tidak terawat,bagus eman senja fasilitas lengkap terawat,bagus eman senja fasilitas lengkap awat,1,Positif,mtl_only,1.0,kampung blekok,Fasilitas,Positif
wisata edukasi yang mengedepankan konservasi burung air. perlu tambahan fasilitas tic sebagai edukasi pengunjung. perlu ada makanan khas yang bisa menjadi icon dari kampung blekokh .,wisata edukasi mengedepankan konservasi burung air tambahan fasilitas tic edukasi pengunjung makanan khas icon kampung blekokh,wisata edukasi depan konservasi burung air tambah fasilitas tic edukasi unjung makan khas icon kampung blekokh,2,Netral,mtl_only,1.0,kampung blekok,Fasilitas,Netral
"bgus banget pemandangannya, rugi loh ga kesana ada monyetnya juga tapi baik kok",bagus banget pemandangannya rugi kesana monyetnya,bagus banget pandang rugi kesana monyet,1,Positif,mtl_only,1.0,kampung blekok,Pemandangan & Alam,Positif
"pemandangannya bikin betah sih, buat dapet foto2 yg instagrammable juga sangat recommended disini. tiket masuk juga terjangkau. . .",pemandangannya bikin betah foto instagrammable recommended tiket terjangkau,pandang bikin betah foto instagrammable recommended tiket jangkau,1,Positif,mtl_only,1.0,kampung blekok,Harga & Tiket|Pemandangan & Alam,Positif|Positif
"tempatnya asri banget, meskipun tempatnya kecil, ada spot2 yang indah untuk foto2. tiketnya murah cuma rp 6000, - orang2 nya ramah. harga makanan dan minuman, camilan murah sekali. ada penyewaan kapal juga untuk keliling harga 10k/orang.",tempatnya asri banget tempatnya spot indah foto tiketnya murah rp ramah harga makanan minuman camilan murah penyewaan kapal keliling harga kak,tempat asri banget tempat spot indah foto tiket murah rp ramah harga makan minum camil murah sewa kapal keliling harga kak,1,Positif,mtl_only,1.0,kampung blekok,Harga & Tiket,Positif
hutan mangrove dan pantai yang indah,hutan mangrove pantai indah,hutan mangrove pantai indah,1,Positif,mtl_only,1.0,kampung blekok,Pemandangan & Alam,Positif
"warga ramah, kerajinannya bagus bagus makanannya enak banget",warga ramah kerajinannya bagus bagus makanannya banget,warga ramah rajin bagus bagus makan banget,1,Positif,mtl_only,1.0,kampung blekok,Budaya & Tradisi|Kuliner|Pelayanan,Positif|Positif|Positif
"bagus, cuma sayang kurang bersih di sekitar pantai",bagus sayang bersih pantai,bagus sayang bersih pantai,1,Positif,mtl_only,1.0,kampung blekok,Pemandangan & Alam,Positif
utk jalan² asiikk. . . kaya akan oksigen. . cm tempat makan berat yg ga ada. .,jalan asiikk kayak oksigen makan berat,jalan asiikk kayak oksigen makan berat,1,Positif,mtl_only,1.0,kampung blekok,Akses & Lokasi,Positif
kampung wisata yang berhasil menyabet juara 1 sebagai kampung wisata yang mampu berkembang pesat. jalan dermaga dan menara sangat menarik serta burung2 blekok dg habitat aslinya.,kampung wisata berhasil menyabet juara kampung wisata berkembang pesat jalan dermaga menara menarik burung blekok habitat aslinya,kampung wisata hasil sabet juara kampung wisata kembang pesat jalan dermaga menara tarik burung blekok habitat asli,1,Positif,mtl_only,1.0,kampung blekok,Akses & Lokasi,Positif
"tempat yang nyaman untuk merefresh kembali pikiran setelah jenuh dengan rutinitas kantor. pemandangan hijau dan langit biru menyegarkan mata dan hati, harga tiket masuk juga terjangkau",nyaman merefresh pikiran jenuh rutinitas kantor pemandangan hijau langit biru menyegarkan hati harga tiket terjangkau,nyaman merefresh pikir jenuh rutinitas kantor pandang hijau langit biru segar hati harga tiket jangkau,1,Positif,mtl_only,1.0,kampung blekok,Harga & Tiket|Pemandangan & Alam,Positif|Positif
"tempatnya bagus cocok buat liburan untuk keluarga, bersama teman maupun sendirian. sepanjang perjalanan dijamin tidak membosankan dikarenakan rutenya melewati hutan mangrove dan banyak blekok di sepanjang perjalanan nya. viewnya bagus menghadap pantai dan pegunungan.",tempatnya bagus cocok liburan keluarga teman perjalanan dijamin membosankan rutenya melewati hutan mangrove blekok perjalanan viewnya bagus menghadap pantai pegunungan,tempat bagus cocok libur keluarga teman jalan jamin bosan rute lewat hutan mangrove blekok jalan viewnya bagus hadap pantai gunung,0,Negatif,mtl_only,1.0,kampung blekok,Akses & Lokasi|Pemandangan & Alam,Negatif|Positif
"lumayan baik sebagai wisata edukasi, wisata hutan mangrove. perlu banyak perbaikan dan peningkatan. petunjuk arah perlu ditambah supaya lebih jelas. kandang burung blekok perlu dibuat yg besar, supaya muat burung banyak, memberi kesempatan masyarakat untuk melihat blekok dari dekat. kalau datang di siang hari, belum tentu bisa melihat blekok di habitatnya. trail papan kayu ada beberapa yg rusak, lepas bautnya. potensi bahaya kejeblos, nyemplung ke rawa. sebaiknya seluruh trail diberi pagar, banyak anak-anak, takut jatuh ke rawa. tempat duduk, tempat istirahat perlu diperbanyak. juga perlu toilet di area hutan mangrove. perlu petugas untuk mengingatkan dan mengawasi pengunjung saat gelap tiba. banyak sampah di rawa sepanjang trail, mungkin terbawa arus pasang. sebaiknya dibersihkan secara berkala.",lumayan wisata edukasi wisata hutan mangrove perbaikan peningkatan petunjuk arah ditambah kandang burung blekok muat burung kesempatan masyarakat blekok siang blekok habitatnya trail papan kayu rusak lepas bautnya potensi bahaya kejeblos nyemplung rawa trail pagar anak anak takut jatuh rawa duduk istirahat diperbanyak toilet area hutan mangrove petugas mengawasi pengunjung gelap sampah rawa trail terbawa arus pasang dibersihkan berkala,lumayan wisata edukasi wisata hutan mangrove baik tingkat tunjuk arah tambah kandang burung blekok muat burung sempat masyarakat blekok siang blekok habitat trail papan kayu rusak lepas baut potensi bahaya jeblos nyemplung rawa trail pagar anak anak takut jatuh rawa duduk istirahat banyak toilet area hutan mangrove tugas awas unjung gelap sampah rawa trail bawa arus pasang bersih kala,2,Netral,mtl_only,1.0,kampung blekok,Kebersihan,Netral
"salah satu destinasi wisata di situbondo yang menarik untuk dikunjungi. kampung blekok sangat nyaman ketika kamu datang di sore hari menjelang matahari terbenam. menikmati suara desir ombak, sekalian melihat lalu lalang burung blekok ditambah ada pemandangan gunung yang sangat nyaman dinikmati. bagi kalian yang suka berfoto ria atau hunting tentang alam, laut, burung, bisa sekalian coba disini. warga kampung blekok juga sangat ramah ketika kalian melintas diantara rumah-rumah mereka.",salah destinasi wisata situbondo menarik dikunjungi kampung blekok nyaman sore menjelang matahari terbenam menikmati suara desir ombak lalang burung blekok ditambah pemandangan gunung nyaman dinikmati suka berfoto ria hunting alam laut burung coba warga kampung blekok ramah melintas rumah rumah,salah destinasi wisata situbondo tarik kunjung kampung blekok nyaman sore jelang matahari benam nikmat suara desir ombak lalang burung blekok tambah pandang gunung nyaman nikmat suka foto ria hunting alam laut burung coba warga kampung blekok ramah lintas rumah rumah,1,Positif,mtl_only,1.0,kampung blekok,Pelayanan|Pemandangan & Alam,Positif|Positif
bagus jalannya tapi jauh,bagus jalannya,bagus jalan,1,Positif,mtl_only,1.0,kampung blekok,Akses & Lokasi,Positif
"bagus, bisa liat pantai sekaligus burung blekok. .",bagus pantai burung blekok,bagus pantai burung blekok,1,Positif,mtl_only,1.0,kampung blekok,Pemandangan & Alam,Positif
keren. . . masih alami. . . bisa menjelajah sampe ke dalam hutan bakau,keren alami menjelajah hutan bakau,keren alami jelajah hutan bakau,1,Positif,mtl_only,1.0,kampung blekok,Pemandangan & Alam,Positif
pengalaman saya adanya google maps senang banget bisa menemukan lokasi2 atau jalan.,pengalaman senang banget menemukan lokasi jalan,alam senang banget temu lokasi jalan,1,Positif,mtl_only,1.0,kampung blekok,Akses & Lokasi|Pemandangan & Alam,Positif|Positif
bukan jenis wisata yg wow. tapi visi pelestarian lingkungan dan pemberdayaan masyarakat nya keren banget. sukaa. nggak heran dapat anugerah 50 desa wisata tahun 2021,jenis wisata wow visi pelestarian lingkungan pemberdayaan masyarakat keren banget suka heran anugerah desa wisata tahun,jenis wisata wow visi lestari lingkung daya masyarakat keren banget suka heran anugerah desa wisata tahun,1,Positif,mtl_only,1.0,kampung blekok,Budaya & Tradisi,Positif
"suasananya asri, disuguhi pemandangan muara, hingga pinggir pantai diujung sendiri, terdapat juga gazebo-gazeboan untuk menikmati pemandangan. blekok biasanya terlihat dan datang di sore hari rada jauh sebenarnya dari pintu masuknya, dan harus melewati rumah warga terlebih dahulu, saat lewat sebenarnya agak awkward, tetapi warga disana menyambut dengan baik kok : )",suasananya asri disuguhi pemandangan muara pinggir pantai diujung gazebo gazeboan menikmati pemandangan blekok sore rada pintu masuknya melewati rumah warga awkward warga disana menyambut,suasana asri suguh pandang muara pinggir pantai ujung gazebo gazeboan nikmat pandang blekok sore rada pintu masuk lewat rumah warga awkward warga sana sambut,1,Positif,mtl_only,1.0,kampung blekok,Suasana,Positif
"wisata alam yang nyaman untuk santai, ada dijalur pantura",wisata alam nyaman santai dijalur pantura,wisata alam nyaman santai jalur pantura,2,Netral,mtl_only,1.0,kampung blekok,Pemandangan & Alam,Netral
"lokasinya indah, tidak terlalu ramai walaupun melewati kampung, tp harus jalan dl sekitar 200m lah, motor d parkir d depan gang kampung. . . . . . tp anak2 suka, piknik tipis2, hehe",lokasinya indah ramai melewati kampung jalan motor parkir gang kampung anak suka piknik tipis hehe,lokasi indah ramai lewat kampung jalan motor parkir gang kampung anak suka piknik tipis hehe,1,Positif,mtl_only,1.0,kampung blekok,Akses & Lokasi,Positif
"bagus dan ""erat"" dengan masyarakat nya. nanti nya bisa ditambah spot lagi untuk tempat bermain anak-anak dan juga wisata edukasi.",bagus erat masyarakat ditambah spot bermain anak anak wisata edukasi,bagus erat masyarakat tambah spot main anak anak wisata edukasi,1,Positif,mtl_only,1.0,kampung blekok,Pelayanan,Positif
sore di tempat ini suasananya lebih keren sambil menunggu blekok pulang bisa menikmati merdunya cuitan berbagai burung.,sore suasananya keren menunggu blekok pulang menikmati merdunya cuitan burung,sore suasana keren tunggu blekok pulang nikmat merdu cuit burung,1,Positif,mtl_only,1.0,kampung blekok,Suasana,Positif
tempatnya bagus. namun blekoknya pindah. namun warganya ramah ramah,tempatnya bagus blekoknya pindah warganya ramah ramah,tempat bagus blekok pindah warga ramah ramah,1,Positif,mtl_only,1.0,kampung blekok,Pelayanan,Positif
"tempatnya bagus, cocok untuk spot foto",tempatnya bagus cocok spot foto,tempat bagus cocok spot foto,1,Positif,mtl_only,1.0,kampung blekok,Fasilitas,Positif
tempat yg asri dg bentangan mangrove tp akses msk tdk memadai.,asri bentangan mangrove akses memadai,asri bentang mangrove akses pada,1,Positif,mtl_only,1.0,kampung blekok,Akses & Lokasi|Pemandangan & Alam,Positif|Positif
"tempat wisata yang cukup bagus, dengan suasana hutan mangrove",wisata bagus suasana hutan mangrove,wisata bagus suasana hutan mangrove,2,Netral,mtl_only,1.0,kampung blekok,Suasana,Netral
seru bangett. . . pemandangan asik dan mendamaikan,seru banget pemandangan asik mendamaikan,seru banget pandang asik damai,1,Positif,mtl_only,1.0,kampung blekok,Pemandangan & Alam,Positif
saya suka dengan tempat ini karena di sana banyak tanaman mangrove membuat suasana menjadi sejuk,suka tanaman mangrove suasana sejuk,suka tanam mangrove suasana sejuk,1,Positif,mtl_only,1.0,kampung blekok,Suasana,Positif
"tempat yang indah dengan nuansa pantai yang sangat exotic, mengingatkan pada suatu tempat ala vietnam. dengan didominasi area mangrove menjadi tempat tinggal berbagai jenis burung. . . utama nya blekok dan menjadi pusat penangkaran burung jenis ini. suasananya sangat mengagumkan.",indah nuansa pantai exotic ala vietnam didominasi area mangrove tinggal jenis burung utama blekok pusat penangkaran burung jenis suasananya mengagumkan,indah nuansa pantai exotic ala vietnam dominasi area mangrove tinggal jenis burung utama blekok pusat tangkar burung jenis suasana kagum,1,Positif,mtl_only,1.0,kampung blekok,Pemandangan & Alam|Suasana,Positif|Positif
"awal pendirian kampung blekok bagus masih belum ada sampah. sekarang sampah d mana2 padahal pihak pengelola sdh menyediakan tempat sampah d setiap titik. eman sekali wisata edukasi apabila tidak d jaga dan d rawat bersama. kurangx kepedulian pengunjung dalam menjaga lingkungan wisata yg ada. tempat parkir luas dan sepanjang jalan menuju kawasan kampung blekok jg sdh bagus, rapi dan ad bbrpa spot untuk foto. serta bersih. . . .",pendirian kampung blekok bagus sampah sampah pengelola menyediakan sampah titik eman wisata edukasi jaga rawat kurangx kepedulian pengunjung menjaga lingkungan wisata parkir luas jalan kawasan kampung blekok bagus rapi spot foto bersih,diri kampung blekok bagus sampah sampah kelola sedia sampah titik eman wisata edukasi jaga rawat kurangx peduli unjung jaga lingkung wisata parkir luas jalan kawasan kampung blekok bagus rapi spot foto bersih,1,Positif,mtl_only,1.0,kampung blekok,Akses & Lokasi|Fasilitas|Pelayanan,Positif|Positif|Negatif
tempat yang nyaman untuk menikmati sunset,nyaman menikmati sunset,nyaman nikmat sunset,1,Positif,mtl_only,1.0,kampung blekok,Pemandangan & Alam,Positif
